stocfl,stocsu,stocsc
"ddfe3     ","Alka      ",   3.58800
"dafe3     ","FeIIIpa   ",  -1.00000
"dafe3     ","FeIIIpc   ",   1.00000
"dpfes     ","FeIId     ",  -1.00000
"dpfes     ","FeS       ",   1.00000
"dpfes     ","SUD       ",  -0.57100
"ddfes     ","FeIId     ",   1.00000
"ddfes     ","FeS       ",  -1.00000
"ddfes     ","SUD       ",   0.57100
"dpfeco3   ","FeIId     ",  -1.00000
"dpfeco3   ","FeCO3     ",   1.00000
"dpfeco3   ","TIC       ",  -0.21486
"dpfeco3   ","Alka      ",  -2.39200
"ddfeco3   ","FeIId     ",   1.00000
"ddfeco3   ","FeCO3     ",  -1.00000
"ddfeco3   ","TIC       ",   0.21486
"ddfeco3   ","Alka      ",   2.39200
"dpyr      ","FeS       ",  -1.00000
"dpyr      ","FeS2      ",   1.00000
