old_name,new_name,old_default,configuration,serial,action_type
"BurS2_Atr ","S12TraAtr ",    0.00000    ,"          ",2012032801,         1
"BurS2_Mef ","S12TraMef ",    0.00000    ,"          ",2012032801,         1
"BurS2_Diu ","S12TraDiu ",    0.00000    ,"          ",2012032801,         1
"DigS2_Cd  ","S12TraCd  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Cu  ","S12TraCu  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Zn  ","S12TraZn  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Hg  ","S12TraHg  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Ni  ","S12TraNi  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Pb  ","S12TraPb  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Cr  ","S12TraCr  ",    0.00000    ,"          ",2012032801,         1
"DigS2_As  ","S12TraAs  ",    0.00000    ,"          ",2012032801,         1
"DigS2_Va  ","S12TraVa  ",    0.00000    ,"          ",2012032801,         1
"DigS2_153 ","S12Tra153 ",    0.00000    ,"          ",2012032801,         1
"DigS2_HCB ","S12TraHCB ",    0.00000    ,"          ",2012032801,         1
"DigS2_HCH ","S12TraHCH ",    0.00000    ,"          ",2012032801,         1
"DigS2_Flu ","S12TraFlu ",    0.00000    ,"          ",2012032801,         1
"DigS2_Bap ","S12TraBap ",    0.00000    ,"          ",2012032801,         1
"DigS2_Atr ","S12TraAtr ",    0.00000    ,"          ",2012032801,         1
"DigS2_Mef ","S12TraMef ",    0.00000    ,"          ",2012032801,         1
